"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0216349868644723,0.584795321637427,0.515104798316404,1.41855161361878,139,73,"IL9R;A2M;IL2RG;CCR1;IL3RA;CRLF2;ACVRL1;IL7;CD36;PF4;LTB;CD38;CNTFR;EBI3;FAS;CSF2RA;IL17RB;PIK3R5;TGFB1;CXCL1;MAP3K8"
"HALLMARK_MYC_TARGETS_V1",0.0350877192982456,0.584795321637427,-0.370039889291735,-1.240183815493,99,200,"MRPL23;ODC1;EIF2S1;IFRD1;MYC;U2AF1;TYMS;PSMC4;CSTF2;HDDC2;KPNB1;SRSF2;PWP1;PSMD14;PRPS2;CDK2;MCM5;SNRPB2;EIF3J;ORC2;NOP16;SRSF1;EIF1AX;CDK4;H2AZ1;ERH;PSMD3;PA2G4;PRPF31;CTPS1;HNRNPU;MCM6;RRP9;TFDP1;SNRPG;CUL1;HPRT1;ABCE1;EIF2S2;YWHAQ;DDX18;NHP2;G3BP1;DDX21;NME1;PSMA7;HNRNPA3;CCT2;PSMB2;PCNA;HNRNPD;GSPT1;PRDX3;SNRPA1;NOLC1;C1QBP;MCM7;EIF4G2;PSMD1;XPOT;SSBP1;AIMP2;PSMA1;SSB;RANBP1;MCM2;SERBP1;CCT7;SRSF7;USP1;VDAC1;MCM4;SYNCRIP;ETF1;PRDX4;UBE2L3;STARD7;GLO1;APEX1;RNPS1;EIF4E;HNRNPR;XRCC6;HNRNPA2B1;SRM;KARS1;HSPD1;ILF2;TRIM28;PHB1;CCT3;CDC45;CYC1;RSL1D1;LSM2;CAD;HSPE1;TUFM;PPM1G;HDAC2;EIF3B;GOT2;EIF4H;DHX15;CDC20;PSMC6;VDAC3;RAN;MRPL9;PSMB3;MAD2L1;EPRS1;PTGES3;HDGF;IARS1;TRA2B;TOMM70;SRPK1;HNRNPC;XPO1;NCBP1;BUB3;SNRPD3;RFC4;CCT5;SF3B3;CCT4;NOP56;PCBP1;PSMA4;TXNL4A;CBX3;NPM1;PSMA6;COX5A;SMARCC1;HSP90AB1"
"HALLMARK_MYC_TARGETS_V2",0.0287277701778386,0.584795321637427,-0.498047461848724,-1.41488285767334,104,58,"SORD;PUS1;MYC;MRTO4;NOC4L;MCM5;DCTPP1;NOP16;PPAN;RCL1;NOP2;RABEPK;TCOF1;FARSA;CDK4;GRWD1;TFB2M;SLC29A2;PA2G4;UTP20;MYBBP1A;PES1;RRP9;NIP7;IMP4;DDX18;PRMT3;SLC19A1;BYSL;NOLC1;WDR74;AIMP2;MPHOSPH10;SUPV3L1;MCM4;TBRG4;NDUFAF4;SRM;HSPD1;PHB1;LAS1L;HSPE1;RRP12;DUSP2;UNG;PPRC1"
"HALLMARK_ADIPOGENESIS",1,1,-0.162488979091318,-0.543314790008152,2876,195,"CDKN2C;CAVIN2;CIDEA;CYP4B1;ACADL;PTGER3;CD302;ANGPT1;GADD45A;C3;GPD2;LIPE;MIGA2;GBE1;CMBL;SLC5A6;SULT1A1;ITIH5;GRPEL1;DHCR7;IDH1;ACLY;GPX3;REEP6;DHRS7;SLC1A5;SOWAHC;DLAT;SLC25A1;AIFM1;HIBCH;DNAJC15;GPAM;TANK;SCARB1;LEP;PFKFB3;DLD;ECHS1;LIFR;ESYT1;SDHB;GPAT4;IDH3A;QDPR;REEP5;ESRRA;FAH;UBQLN1;JAGN1;ARAF;SOD1;SLC19A1;PRDX3;PIM3;RMDN3;ATL2;ENPP2;ALDH2;ELOVL6;NDUFS3;ACADM;ADIPOR2"
"HALLMARK_ALLOGRAFT_REJECTION",0.572850548182343,1,0.316226568165638,0.953228128593407,3970,160,"ZAP70;IL2RG;F2;GBP2;CTSS;CCR1;CRTAM;KLRD1;SRGN;CD80;IL7;IRF8;PF4;LTB;ITGB2;CCR2;PTPRC;NLRP3;WAS;MAP4K1;FAS;INHBA;STAT4;PRKCG;ITK;HLA-DMB;IL15;CD8B;IRF7;LCP2;TAP1;B2M;TGFB1;TLR6;PRKCB;GCNT1;CAPG;ST8SIA4;TPD52;IL18;HLA-A;LY75;RPL9;CDKN2A;CD1D;CFP;CCL2"
"HALLMARK_ANDROGEN_RESPONSE",0.980172544271227,1,0.25155257952849,0.718440133501288,6475,99,"TARP;KLK2;SPDEF;HERC3;AZGP1;SELENOP;TMPRSS2;H1-0;HSD17B14;HPGD;MAK;ZBTB10;B2M;MAF;CDK6;TPD52"
"HALLMARK_ANGIOGENESIS",0.818975457091089,1,0.323278472226304,0.789062542864136,4971,35,"MSX1;OLR1;VTN;PF4;LUM;COL3A1;S100A4;PDGFA;NRP1;JAG1;SLCO2A1;FGFR1;CXCL6;THBD;STC1;VCAN"
"HALLMARK_APICAL_JUNCTION",1,1,0.215549481805159,0.664025218172384,7133,194,"CD274;CD209;ADRA1B;MADCAM1;VCAM1;ITGA10;WNK4;CLDN9;NRAP;PTPRC;ACTN3;SLIT2;CD34;LAMA3;CDH11;SLC30A3;PIK3R3;CDH8;ICAM5;LAYN;COL16A1;MAPK11;CDH6;NRXN2;CLDN4;MAPK13"
"HALLMARK_APICAL_SURFACE",0.935379119987011,1,0.282730021224536,0.711721096595451,5760,42,"IL2RG;SLC34A3;EFNA5;GSTM3;RTN4RL1;SLC2A4;CX3CL1"
"HALLMARK_APOPTOSIS",0.380682643427741,1,0.34375558767989,1.03130990580629,2620,154,"GSTM1;F2;CD69;CASP1;EGR3;TNFSF10;CASP4;LUM;BIK;CD38;IL1A;LEF1;TXNIP;FAS"
