"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000162522346822688,0.00407298794395569,0.585985382967611,2.05039113190645,0,196,"CXCL1;CXCL6;COL1A2;SNAI2;INHBA;COL3A1;COL6A3;FOXC2;COL1A1;MMP14;FN1;GREM1;NNMT;MYL9;TPM2;FBLN2;TGFB1;SERPINE1;TAGLN;BGN;COL5A3;LOXL2;CCN2;COL5A1;PLAUR;LGALS1;ACTA2;LUM;ITGA5;TNFRSF12A;COL5A2;POSTN;TNC;GADD45B;COL4A1;IGFBP3;TGFBI;PRRX1;LOX;BMP1;TFPI2;COL12A1;PCOLCE;GLIPR1;PDGFRB;CCN1;TIMP3;DAB2;MGP;EMP3;COL16A1;SPP1;LOXL1;SPARC;MSX1;TGM2;FAP;COL6A2;CALD1;DCN;ITGB3;EFEMP2;TPM1;PLOD2;IGFBP4;IL32;SERPINH1;GADD45A;CDH11;FBN2;IGFBP2;GJA1;NT5E;COL4A2;MFAP5;GPX7;COL11A1;FBN1;MMP2;ECM2;NID2;FAS;PMEPA1;FBLN5;COL8A2;ID2;MATN3;ITGAV;JUN;SGCG;CXCL12;SDC4;MEST;CDH6;LRRC15;THBS1;ELN;SFRP4;PDLIM4;COMP;DKK1;TPM4"
"HALLMARK_MYOGENESIS",0.000162919517758227,0.00407298794395569,0.523271785074816,1.8298489767983,0,195,"CHRNG;MYBPC3;MYH4;GJA5;HRC;MYL11;IGFBP7;ACTC1;SLN;COL3A1;COL6A3;MYL7;MYBPH;TNNT2;RYR1;COL1A1;IGF1;TPM2;TGFB1;ENO3;ATP2A1;CASQ2;MYL4;MYH2;TAGLN;LSP1;TNNC1;MYL1;CHRNA1;ACTN3;MYH8;MYL3;TNNI1;GADD45B;MB;IGFBP3;STC2;SOD3;ANKRD2;FST;SPARC;COL6A2;CAV3;MYH1;DAPK2;TNNC2;NQO1;BDKRB2;PPP1R3C;PVALB;PDLIM7;CDKN1A;COL4A2;CSRP3;SH3BGR;EFS;APLNR;DES;WWTR1;MYH9;SGCG"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00120710467321952,0.0201184112203253,0.564695526859941,1.77044627697773,6,80,"CXCL1;OSMR;LTB;EBI3;CSF3R;CCR1;CSF2RB;DNTT;CXCL3;IL12RB1;TGFB1;CD38;PIK3R5;TNFRSF12A;TNF;SOCS1;CXCL13;ITGB3;IL3RA;ITGA4;IL17RA;TLR2;PDGFC;CSF1;FAS;IL4R;JUN;SOCS3;ACVRL1"
"HALLMARK_ANGIOGENESIS",0.00289278611462665,0.0361598264328331,0.655970863426248,1.73789700794909,15,31,"CXCL6;COL3A1;THBD;LUM;COL5A2;POSTN;SPP1;MSX1;SLCO2A1;ITGAV;VTN;S100A4;LPL;JAG1;FSTL1"
"HALLMARK_APOPTOSIS",0.00546719681908549,0.0546719681908549,0.431714997278523,1.47353027406103,32,156,"GSTM1;IL18;CD69;ANXA1;IER3;CD38;CASP4;BGN;HGF;CAV1;AVPR1A;LUM;TNFRSF12A;KRT18;GADD45B;TNF;PLAT;IL1A;PDGFRB;TIMP3;HSPB1;PRF1;GNA15;DCN;EMP1;BMF;IFITM3;BIRC3;GADD45A;SMAD7;CASP3;CDKN1A;BAX;MMP2;FAS;MGMT;HMGB2;JUN;BTG2;BTG3;ATF3;BCL2L11;NEDD9;ISG20;F2;TGFB2;AIFM3;BMP2;DAP;DPYD;CDK2;IRF1;CASP8;CASP6"
"HALLMARK_ALLOGRAFT_REJECTION",0.010074318744839,0.0629644921552436,0.413390734900491,1.41590109503172,60,162,"IRF8;TLR3;LTB;IL18;CD40LG;FYB1;ITGB2;ITGAL;CCR1;GPR65;INHBA;HLA-DQA1;HLA-DMB;CDKN2A;IL12RB1;NOS2;TGFB1;IL11;CCL2;LY75;CD96;TNF;SOCS1;CXCL13;IL2RB;LCP2;PRF1;PTPRC;ETS1;CD247;TLR2;STAB1;ICAM1;B2M;RPL39;CSF1;ELF4;FAS;RPS19;IL4R;TLR1;HLA-E;RPL9"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00900163666121113,0.0629644921552436,0.405951313568075,1.40786364613197,54,180,"CXCL6;OSMR;GPR132;ICAM4;TLR3;SELL;EBI3;CCL20;IL18;PTGIR;CSF3R;TNFSF15;IL7R;CD69;INHBA;MMP14;FFAR2;RGS1;EDN1;CSF3;CXCR6;VIP;PIK3R5;SERPINE1;SGMS2;PLAUR;NPFFR2;CCL2;TNFAIP6;ITGA5;ADM;MEFV;IL1A;IL2RB;EMP3;OSM;LTA;LCP2;GNA15;ITGB3;TPBG;GPR183;TLR2;STAB1;ICAM1;CDKN1A;GPC3;BST2;CSF1;SCN1B;IL4R;APLNR;TLR1;P2RX7;MSR1;BTG2"
"HALLMARK_SPERMATOGENESIS",0.00817641228939544,0.0629644921552436,-0.427978608953272,-1.4674806564361,32,117,"PAPOLB;SPMAP2;CRISP2;ODF1;DPEP3;HTR5A;ZNRF4;NAA11;IL13RA2;TULP2;HBZ;HSPA2;ACE;NOS1;CAMK4;CCNA1;TKTL1;GSG1;OAZ3;SCG5;HOXB1;DCC;IL12RB2;MAP7;DDX4;NEFH;SNAP91;HSPA4L;ACRV1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0120403514480963,0.0668908413783129,0.393292717052502,1.37335139618867,73,192,"CXCL1;CXCL6;CXCL2;CCL20;IL18;IL7R;CD69;INHBA;CXCL3;EDN1;IER3;SERPINE1;CEBPD;PLAU;PLAUR;CCL2;TNFAIP6;TNC;GADD45B;TNF;PLEK;IL1A;CCN1;ZC3H12A;ZFP36;GPR183;PHLDA1;PTGS2;TLR2;ICAM1;BIRC3;GADD45A;SPSB1;CDKN1A;TGIF1;CSF1;PMEPA1;ID2;IER5;NFKB2;PLK2;JUN;SOCS3;BTG2;BTG3;SDC4;TNFAIP8;ATF3;NR4A2;PTGER4;JAG1;HES1;ABCA1;SPHK1;SIK1;F2RL1;JUNB;LIF;FOSB;TNFAIP3;FOSL2;KLF10;CLCF1;BMP2;BHLHE40;EFNA1;PTX3;IRF1;GFPT2;ICOSLG;LITAF"
"HALLMARK_TGF_BETA_SIGNALING",0.0368346845259077,0.184173422629538,0.483120305666769,1.42261719405105,208,54,"TGFB1;ID3;SERPINE1;ID1;ENG;SMAD6;LTBP2;SMAD7;TGIF1;PMEPA1;ID2;WWTR1;THBS1;BCAR3;JUNB;KLF10;BMP2;FURIN;LEFTY2"
"HALLMARK_COAGULATION",0.0530632741881486,0.241196700855221,0.391351893315583,1.30185476681873,316,123,"MMP7;CFI;F11;C9;APOC3;PECAM1;MMP14;FN1;ANXA1;S100A1;THBD;SERPINE1;PLAU;PLAT;PLEK;APOA1;BMP1;TFPI2;CFH;TIMP3;SPARC;PDGFB;ITGB3;C8G;SERPINA1;CSRP1;CTSH;APOC1;PROZ;FBN1;MMP2;CTSO;PRSS23;CPQ;ACOX2;CTSV;THBS1;ANG;COMP;F2;SERPINC1;MMP10"
"HALLMARK_APICAL_JUNCTION",0.0637015314434669,0.255450231032194,0.353398136807861,1.23581136511657,390,195,"ICAM4;CD34;ACTC1;ACTG2;FYB1;CDH15;SYK;PECAM1;DMP1;MYL9;ACTN3;ICAM2;NECTIN4;FLNC;TGFBI;CLDN5;BMP1;CD274;KRT31;COL16A1;THBS3;PTPRC;ITGA10;LIMA1;RRAS;CLDN4;ITGA9;ICAM1;NEXN;MDK;DSC3;CDH11;FBN1;MMP2;COL9A1;LDLRAP1;MYH9;ACTN1;CNN2;CDH6;LAYN;CD99;DSC1;PARVA;AMH;VCL;CLDN15;ZYX;PFN1;ITGB4;SGCE"
